Name,URL,State,District,Party,Terms
"Representative Becerra, Xavier",https://www.congress.gov/member/xavier-becerra/B000287,California,34,Democratic,"House: 1993-2017"
"Senator Bennett, Robert F.",https://www.congress.gov/member/robert-bennett/B000382,Utah,,Republican,"Senate: 1993-2011"
"Representative Berkley, Shelley",https://www.congress.gov/member/shelley-berkley/B001231,Nevada,1,Democratic,"House: 1999-2013"
"Representative Berman, Howard L.",https://www.congress.gov/member/howard-berman/B000410,California,28,Democratic,"House: 1983-2013"
"Representative Berry, Marion",https://www.congress.gov/member/marion-berry/B000420,Arkansas,1,Democratic,"House: 1997-2011"
"Senator Biden, Joseph R., Jr.",https://www.congress.gov/member/joseph-biden/B000444,Delaware,,Democratic,"Senate: 1973-2009"
"Representative Biggert, Judy",https://www.congress.gov/member/judy-biggert/B001232,Illinois,13,Republican,"House: 1999-2013"
"Representative Bilbray, Brian P.",https://www.congress.gov/member/brian-bilbray/B000461,California,50,Republican,"House: 1995-2001, 2005-2013"
"Representative Bilirakis, Gus M.",https://www.congress.gov/member/gus-bilirakis/B001257,Florida,12,Republican,"House: 2007-Present"
"Senator Bingaman, Jeff",https://www.congress.gov/member/jesse-bingaman/B000468,"New Mexico",,Democratic,"Senate: 1983-2013"
"Representative Bishop, Rob",https://www.congress.gov/member/rob-bishop/B001250,Utah,1,Republican,"House: 2003-Present"
"Representative Bishop, Sanford D., Jr.",https://www.congress.gov/member/sanford-bishop/B000490,Georgia,2,Democratic,"House: 1993-Present"
"Representative Bishop, Timothy H.",https://www.congress.gov/member/timothy-bishop/B001242,"New York",1,Democratic,"House: 2003-2015"
"Senator Blackburn, Marsha",https://www.congress.gov/member/marsha-blackburn/B001243,Tennessee,,Republican,"Senate: 2019-Present | House: 2003-2019"
"Representative Blumenauer, Earl",https://www.congress.gov/member/earl-blumenauer/B000574,Oregon,3,Democratic,"House: 1995-Present"
"Senator Blunt, Roy",https://www.congress.gov/member/roy-blunt/B000575,Missouri,,Republican,"Senate: 2011-Present | House: 1997-2011"
"Representative Boehner, John A.",https://www.congress.gov/member/john-boehner/B000589,Ohio,8,Republican,"House: 1991-2015"
"Senator Bond, Christopher S.",https://www.congress.gov/member/christopher-bond/B000611,Missouri,,Republican,"Senate: 1987-2011"
"Representative Bonner, Jo",https://www.congress.gov/member/jo-bonner/B001244,Alabama,1,Republican,"House: 2003-2013"
"Representative Bono Mack, Mary",https://www.congress.gov/member/mary-bono-mack/B001228,California,45,Republican,"House: 1997-2013"
"Senator Boozman, John",https://www.congress.gov/member/john-boozman/B001236,Arkansas,,Republican,"Senate: 2011-Present | House: 2001-2011"
"Representative Bordallo, Madeleine Z.",https://www.congress.gov/member/madeleine-bordallo/B001245,Guam,,Democratic,"House: 2003-2019"
"Representative Boren, Dan",https://www.congress.gov/member/dan-boren/B001254,Oklahoma,2,Democratic,"House: 2005-2013"
"Representative Boswell, Leonard L.",https://www.congress.gov/member/leonard-boswell/B000652,Iowa,3,Democratic,"House: 1997-2013"
"Representative Boucher, Rick",https://www.congress.gov/member/rick-boucher/B000657,Virginia,9,Democratic,"House: 1983-2011"
"Representative Boustany, Charles W., Jr.",https://www.congress.gov/member/charles-boustany/B001255,Louisiana,3,Republican,"House: 2005-2017"
"Senator Boxer, Barbara",https://www.congress.gov/member/barbara-boxer/B000711,California,,Democratic,"Senate: 1993-2017 | House: 1983-1993"
"Representative Boyd, Allen",https://www.congress.gov/member/allen-boyd/B000716,Florida,2,Democratic,"House: 1997-2011"
"Representative Boyda, Nancy E.",https://www.congress.gov/member/nancy-boyda/B001258,Kansas,2,Democratic,"House: 2007-2009"
"Representative Brady, Kevin",https://www.congress.gov/member/kevin-brady/B000755,Texas,8,Republican,"House: 1997-Present"
"Representative Brady, Robert A.",https://www.congress.gov/member/robert-brady/B001227,Pennsylvania,1,Democratic,"House: 1997-2019"
"Representative Braley, Bruce L.",https://www.congress.gov/member/bruce-braley/B001259,Iowa,1,Democratic,"House: 2007-2015"
"Representative Broun, Paul C.",https://www.congress.gov/member/paul-broun/B001262,Georgia,10,Republican,"House: 2007-2015"
"Representative Brown, Corrine",https://www.congress.gov/member/corrine-brown/B000911,Florida,5,Democratic,"House: 1993-2017"
"Representative Brown, Henry E., Jr.",https://www.congress.gov/member/henry-brown/B001235,"South Carolina",1,Republican,"House: 2001-2011"
"Senator Brown, Sherrod",https://www.congress.gov/member/sherrod-brown/B000944,Ohio,,Democratic,"Senate: 2007-Present | House: 1993-2007"
"Representative Brown-Waite, Ginny",https://www.congress.gov/member/ginny-brown-waite/B001247,Florida,5,Republican,"House: 2003-2011"
"Senator Brownback, Sam",https://www.congress.gov/member/sam-brownback/B000953,Kansas,,Republican,"Senate: 1997-2011 | House: 1995-1996"
"Representative Buchanan, Vern",https://www.congress.gov/member/vern-buchanan/B001260,Florida,16,Republican,"House: 2007-Present"
"Senator Bunning, Jim",https://www.congress.gov/member/jim-bunning/B001066,Kentucky,,Republican,"Senate: 1999-2011 | House: 1987-1999"
"Representative Burgess, Michael C.",https://www.congress.gov/member/michael-burgess/B001248,Texas,26,Republican,"House: 2003-Present"
"Senator Burr, Richard",https://www.congress.gov/member/richard-burr/B001135,"North Carolina",,Republican,"Senate: 2005-Present | House: 1995-2005"
"Representative Burton, Dan",https://www.congress.gov/member/dan-burton/B001149,Indiana,5,Republican,"House: 1983-2013"
"Representative Butterfield, G. K.",https://www.congress.gov/member/g-k-butterfield/B001251,"North Carolina",1,Democratic,"House: 2004-Present"
"Representative Buyer, Steve",https://www.congress.gov/member/stephen-buyer/B001203,Indiana,4,Republican,"House: 1993-2011"
"Senator Byrd, Robert C.",https://www.congress.gov/member/robert-byrd/B001210,"West Virginia",,Democratic,"Senate: 1959-2010 | House: 1953-1959"
"Representative Calvert, Ken",https://www.congress.gov/member/ken-calvert/C000059,California,42,Republican,"House: 1993-Present"
"Representative Camp, Dave",https://www.congress.gov/member/dave-camp/C000071,Michigan,4,Republican,"House: 1991-2015"
"Representative Campbell, John",https://www.congress.gov/member/john-campbell/C001064,California,45,Republican,"House: 2005-2015"
"Representative Cannon, Chris",https://www.congress.gov/member/chris-cannon/C000116,Utah,3,Republican,"House: 1997-2009"
"Representative Cantor, Eric",https://www.congress.gov/member/eric-cantor/C001046,Virginia,7,Republican,"House: 2001-2014"
"Senator Cantwell, Maria",https://www.congress.gov/member/maria-cantwell/C000127,Washington,,Democratic,"Senate: 2001-Present | House: 1993-1995"
"Senator Capito, Shelley Moore",https://www.congress.gov/member/shelley-capito/C001047,"West Virginia",,Republican,"Senate: 2015-Present | House: 2001-2015"
"Representative Capps, Lois",https://www.congress.gov/member/lois-capps/C001036,California,24,Democratic,"House: 1997-2017"
"Representative Capuano, Michael E.",https://www.congress.gov/member/michael-capuano/C001037,Massachusetts,7,Democratic,"House: 1999-2019"
"Senator Cardin, Benjamin L.",https://www.congress.gov/member/benjamin-cardin/C000141,Maryland,,Democratic,"Senate: 2007-Present | House: 1987-2007"
"Representative Cardoza, Dennis A.",https://www.congress.gov/member/dennis-cardoza/C001050,California,18,Democratic,"House: 2003-2012"
"Representative Carnahan, Russ",https://www.congress.gov/member/russ-carnahan/C001060,Missouri,3,Democratic,"House: 2005-2013"
"Representative Carney, Christopher P.",https://www.congress.gov/member/christopher-carney/C001065,Pennsylvania,10,Democratic,"House: 2007-2011"
"Senator Carper, Thomas R.",https://www.congress.gov/member/thomas-carper/C000174,Delaware,,Democratic,"Senate: 2001-Present | House: 1983-1993"
"Representative Carson, Andre",https://www.congress.gov/member/andre-carson/C001072,Indiana,7,Democratic,"House: 2008-Present"
"Representative Carson, Julia",https://www.congress.gov/member/julia-carson/C000191,Indiana,7,Democratic,"House: 1997-2007"
"Representative Carter, John R.",https://www.congress.gov/member/john-carter/C001051,Texas,31,Republican,"House: 2003-Present"
"Senator Casey, Robert P., Jr.",https://www.congress.gov/member/bob-casey/C001070,Pennsylvania,,Democratic,"Senate: 2007-Present"
"Representative Castle, Michael N.",https://www.congress.gov/member/michael-castle/C000243,Delaware,,Republican,"House: 1993-2011"
"Representative Castor, Kathy",https://www.congress.gov/member/kathy-castor/C001066,Florida,14,Democratic,"House: 2007-Present"
"Representative Cazayoux, Donald J., Jr.",https://www.congress.gov/member/donald-cazayoux/C001073,Louisiana,6,Democratic,"House: 2008-2009"
"Representative Chabot, Steve",https://www.congress.gov/member/steve-chabot/C000266,Ohio,1,Republican,"House: 1995-2009, 2011-Present"
"Senator Chambliss, Saxby",https://www.congress.gov/member/saxby-chambliss/C000286,Georgia,,Republican,"Senate: 2003-2015 | House: 1995-2003"
"Representative Chandler, Ben",https://www.congress.gov/member/ben-chandler/C001058,Kentucky,6,Democratic,"House: 2004-2013"
"Representative Childers, Travis",https://www.congress.gov/member/travis-childers/C001074,Mississippi,1,Democratic,"House: 2008-2011"
"Representative Christensen, Donna M.",https://www.congress.gov/member/donna-christensen/C000380,"Virgin Islands",,Democratic,"House: 1997-2015"
"Representative Clarke, Yvette D.",https://www.congress.gov/member/yvette-clarke/C001067,"New York",9,Democratic,"House: 2007-Present"
"Representative Clay, Wm. Lacy",https://www.congress.gov/member/wm-clay/C001049,Missouri,1,Democratic,"House: 2001-Present"
"Representative Cleaver, Emanuel",https://www.congress.gov/member/emanuel-cleaver/C001061,Missouri,5,Democratic,"House: 2005-Present"
"Senator Clinton, Hillary Rodham",https://www.congress.gov/member/hillary-clinton/C001041,"New York",,Democratic,"Senate: 2001-2009"
"Representative Clyburn, James E.",https://www.congress.gov/member/james-clyburn/C000537,"South Carolina",6,Democratic,"House: 1993-Present"
"Representative Coble, Howard",https://www.congress.gov/member/howard-coble/C000556,"North Carolina",6,Republican,"House: 1985-2015"
"Senator Coburn, Tom",https://www.congress.gov/member/tom-coburn/C000560,Oklahoma,,Republican,"Senate: 2005-2015 | House: 1995-2001"
"Senator Cochran, Thad",https://www.congress.gov/member/thad-cochran/C000567,Mississippi,,Republican,"Senate: 1979-2018 | House: 1973-1979"
"Representative Cohen, Steve",https://www.congress.gov/member/steve-cohen/C001068,Tennessee,9,Democratic,"House: 2007-Present"
"Representative Cole, Tom",https://www.congress.gov/member/tom-cole/C001053,Oklahoma,4,Republican,"House: 2003-Present"
"Senator Coleman, Norm",https://www.congress.gov/member/norm-coleman/C001057,Minnesota,,Republican,"Senate: 2003-2009"
"Senator Collins, Susan M.",https://www.congress.gov/member/susan-collins/C001035,Maine,,Republican,"Senate: 1997-Present"
"Representative Conaway, K. Michael",https://www.congress.gov/member/k-conaway/C001062,Texas,11,Republican,"House: 2005-Present"
"Senator Conrad, Kent",https://www.congress.gov/member/kent-conrad/C000705,"North Dakota",,Democratic,"Senate: 1987-2013"
"Representative Conyers, John, Jr.",https://www.congress.gov/member/john-conyers/C000714,Michigan,13,Democratic,"House: 1965-2017"
"Representative Cooper, Jim",https://www.congress.gov/member/james-cooper/C000754,Tennessee,5,Democratic,"House: 1983-1995, 2003-Present"
"Senator Corker, Bob",https://www.congress.gov/member/bob-corker/C001071,Tennessee,,Republican,"Senate: 2007-2019"
"Senator Cornyn, John",https://www.congress.gov/member/john-cornyn/C001056,Texas,,Republican,"Senate: 2002-Present"
"Representative Costa, Jim",https://www.congress.gov/member/jim-costa/C001059,California,16,Democratic,"House: 2005-Present"
"Representative Costello, Jerry F.",https://www.congress.gov/member/jerry-costello/C000794,Illinois,12,Democratic,"House: 1987-2013"
"Representative Courtney, Joe",https://www.congress.gov/member/joe-courtney/C001069,Connecticut,2,Democratic,"House: 2007-Present"
"Senator Craig, Larry E.",https://www.congress.gov/member/larry-craig/C000858,Idaho,,Republican,"Senate: 1991-2009 | House: 1981-1991"
"Representative Cramer, Robert E. (Bud), Jr.",https://www.congress.gov/member/robert-cramer/C000868,Alabama,5,Democratic,"House: 1991-2009"
"Senator Crapo, Mike",https://www.congress.gov/member/michael-crapo/C000880,Idaho,,Republican,"Senate: 1999-Present | House: 1993-1999"
"Representative Crenshaw, Ander",https://www.congress.gov/member/ander-crenshaw/C001045,Florida,4,Republican,"House: 2001-2017"
"Representative Crowley, Joseph",https://www.congress.gov/member/joseph-crowley/C001038,"New York",14,Democratic,"House: 1999-2019"
"Representative Cubin, Barbara",https://www.congress.gov/member/barbara-cubin/C000962,Wyoming,,Republican,"House: 1995-2009"
"Representative Cuellar, Henry",https://www.congress.gov/member/henry-cuellar/C001063,Texas,28,Democratic,"House: 2005-Present"
"Representative Culberson, John Abney",https://www.congress.gov/member/john-culberson/C001048,Texas,7,Republican,"House: 2001-2019"
"Representative Cummings, Elijah E.",https://www.congress.gov/member/elijah-cummings/C000984,Maryland,7,Democratic,"House: 1995-2019"
"Representative Davis, Artur",https://www.congress.gov/member/artur-davis/D000602,Alabama,7,Democratic,"House: 2003-2011"
"Representative Davis, Danny K.",https://www.congress.gov/member/danny-davis/D000096,Illinois,7,Democratic,"House: 1997-Present"
"Representative Davis, David",https://www.congress.gov/member/david-davis/D000606,Tennessee,1,Republican,"House: 2007-2009"
"Representative Davis, Geoff",https://www.congress.gov/member/geoff-davis/D000603,Kentucky,4,Republican,"House: 2005-2012"
"Representative Davis, Jo Ann",https://www.congress.gov/member/jo-ann-davis/D000597,Virginia,1,Republican,"House: 2001-2007"
"Representative Davis, Lincoln",https://www.congress.gov/member/lincoln-davis/D000599,Tennessee,4,Democratic,"House: 2003-2011"
"Representative Davis, Susan A.",https://www.congress.gov/member/susan-davis/D000598,California,53,Democratic,"House: 2001-Present"
"Representative Davis, Tom",https://www.congress.gov/member/thomas-davis/D000136,Virginia,11,Republican,"House: 1995-2008"
"Representative Deal, Nathan",https://www.congress.gov/member/nathan-deal/D000168,Georgia,9,Republican,"House: 1993-2010"
"Representative DeFazio, Peter A.",https://www.congress.gov/member/peter-defazio/D000191,Oregon,4,Democratic,"House: 1987-Present"
"Representative DeGette, Diana",https://www.congress.gov/member/diana-degette/D000197,Colorado,1,Democratic,"House: 1997-Present"
"Representative Delahunt, Bill",https://www.congress.gov/member/bill-delahunt/D000210,Massachusetts,10,Democratic,"House: 1997-2011"
"Representative DeLauro, Rosa L.",https://www.congress.gov/member/rosa-delauro/D000216,Connecticut,3,Democratic,"House: 1991-Present"
"Senator DeMint, Jim",https://www.congress.gov/member/james-demint/D000595,"South Carolina",,Republican,"Senate: 2005-2012 | House: 1999-2005"
"Representative Dent, Charles W.",https://www.congress.gov/member/charles-dent/D000604,Pennsylvania,15,Republican,"House: 2005-2018"
"Representative Diaz-Balart, Lincoln",https://www.congress.gov/member/lincoln-diaz-balart/D000299,Florida,21,Republican,"House: 1993-2011"
"Representative Diaz-Balart, Mario",https://www.congress.gov/member/mario-diaz-balart/D000600,Florida,25,Republican,"House: 2003-Present"
"Representative Dicks, Norman D.",https://www.congress.gov/member/norman-dicks/D000327,Washington,6,Democratic,"House: 1977-2013"
"Representative Dingell, John D.",https://www.congress.gov/member/john-dingell/D000355,Michigan,12,Democratic,"House: 1955-2015"
"Senator Dodd, Christopher J.",https://www.congress.gov/member/christopher-dodd/D000388,Connecticut,,Democratic,"Senate: 1981-2011 | House: 1975-1981"
"Representative Doggett, Lloyd",https://www.congress.gov/member/lloyd-doggett/D000399,Texas,35,Democratic,"House: 1995-Present"
"Senator Dole, Elizabeth",https://www.congress.gov/member/elizabeth-dole/D000601,"North Carolina",,Republican,"Senate: 2003-2009"
"Senator Domenici, Pete V.",https://www.congress.gov/member/pete-domenici/D000407,"New Mexico",,Republican,"Senate: 1973-2009"
"Senator Donnelly, Joe",https://www.congress.gov/member/joe-donnelly/D000607,Indiana,,Democratic,"Senate: 2013-2019 | House: 2007-2013"
"Representative Doolittle, John T.",https://www.congress.gov/member/john-doolittle/D000429,California,4,Republican,"House: 1991-2009"
"Senator Dorgan, Byron L.",https://www.congress.gov/member/byron-dorgan/D000432,"North Dakota",,Democratic,"Senate: 1991-2011 | House: 1981-1993"
"Representative Doyle, Michael F.",https://www.congress.gov/member/mike-doyle/D000482,Pennsylvania,18,Democratic,"House: 1995-Present"
"Representative Drake, Thelma D.",https://www.congress.gov/member/thelma-drake/D000605,Virginia,2,Republican,"House: 2005-2009"
"Representative Dreier, David",https://www.congress.gov/member/david-dreier/D000492,California,26,Republican,"House: 1981-2013"
"Representative Duncan, John J., Jr.",https://www.congress.gov/member/john-duncan/D000533,Tennessee,2,Republican,"House: 1987-2019"
"Senator Durbin, Richard J.",https://www.congress.gov/member/richard-durbin/D000563,Illinois,,Democratic,"Senate: 1997-Present | House: 1983-1997"
"Representative Edwards, Chet",https://www.congress.gov/member/chet-edwards/E000063,Texas,17,Democratic,"House: 1991-2011"
"Representative Edwards, Donna F.",https://www.congress.gov/member/donna-edwards/E000290,Maryland,4,Democratic,"House: 2008-2017"
"Representative Ehlers, Vernon J.",https://www.congress.gov/member/vernon-ehlers/E000092,Michigan,3,Republican,"House: 1993-2011"
"Representative Ellison, Keith",https://www.congress.gov/member/keith-ellison/E000288,Minnesota,5,Democratic,"House: 2007-2019"
"Representative Ellsworth, Brad",https://www.congress.gov/member/brad-ellsworth/E000289,Indiana,8,Democratic,"House: 2007-2011"
"Representative Emanuel, Rahm",https://www.congress.gov/member/rahm-emanuel/E000287,Illinois,5,Democratic,"House: 2003-2009"
"Representative Emerson, Jo Ann",https://www.congress.gov/member/jo-emerson/E000172,Missouri,8,Republican,"House: 1997-2013"
"Representative Engel, Eliot L.",https://www.congress.gov/member/eliot-engel/E000179,"New York",16,Democratic,"House: 1989-Present"
"Representative English, Phil",https://www.congress.gov/member/phil-english/E000187,Pennsylvania,3,Republican,"House: 1995-2009"
"Senator Ensign, John",https://www.congress.gov/member/john-ensign/E000194,Nevada,,Republican,"Senate: 2001-2011 | House: 1995-1999"
"Senator Enzi, Michael B.",https://www.congress.gov/member/michael-enzi/E000285,Wyoming,,Republican,"Senate: 1997-Present"
"Representative Eshoo, Anna G.",https://www.congress.gov/member/anna-eshoo/E000215,California,18,Democratic,"House: 1993-Present"
"Representative Etheridge, Bob",https://www.congress.gov/member/bob-etheridge/E000226,"North Carolina",2,Democratic,"House: 1997-2011"
"Representative Everett, Terry",https://www.congress.gov/member/terry-everett/E000268,Alabama,2,Republican,"House: 1993-2009"
"Representative Faleomavaega, Eni F. H.",https://www.congress.gov/member/eni-faleomavaega/F000010,"American Samoa",,Democratic,"House: 1989-2015"
"Representative Fallin, Mary",https://www.congress.gov/member/mary-fallin/F000453,Oklahoma,5,Republican,"House: 2007-2011"
"Representative Farr, Sam",https://www.congress.gov/member/sam-farr/F000030,California,20,Democratic,"House: 1993-2017"
"Representative Fattah, Chaka",https://www.congress.gov/member/chaka-fattah/F000043,Pennsylvania,2,Democratic,"House: 1995-2016"
"Representative Feeney, Tom",https://www.congress.gov/member/tom-feeney/F000447,Florida,24,Republican,"House: 2003-2009"
"Senator Feingold, Russell D.",https://www.congress.gov/member/russell-feingold/F000061,Wisconsin,,Democratic,"Senate: 1993-2011"
"Senator Feinstein, Dianne",https://www.congress.gov/member/dianne-feinstein/F000062,California,,Democratic,"Senate: 1992-Present"
"Representative Ferguson, Mike",https://www.congress.gov/member/mike-ferguson/F000443,"New Jersey",7,Republican,"House: 2001-2009"
"Representative Filner, Bob",https://www.congress.gov/member/bob-filner/F000116,California,51,Democratic,"House: 1993-2013"
"Senator Flake, Jeff",https://www.congress.gov/member/jeff-flake/F000444,Arizona,,Republican,"Senate: 2013-2019 | House: 2001-2013"
"Representative Forbes, J. Randy",https://www.congress.gov/member/j-forbes/F000445,Virginia,4,Republican,"House: 2001-2017"
"Representative Fortenberry, Jeff",https://www.congress.gov/member/jeff-fortenberry/F000449,Nebraska,1,Republican,"House: 2005-Present"
"Representative Fortuno, Luis G.",https://www.congress.gov/member/luis-fortuno/F000452,"Puerto Rico",,Republican,"House: 2005-2009"
"Representative Fossella, Vito",https://www.congress.gov/member/vito-fossella/F000440,"New York",13,Republican,"House: 1997-2009"
"Representative Foster, Bill",https://www.congress.gov/member/bill-foster/F000454,Illinois,11,Democratic,"House: 2008-2011, 2013-Present"
"Representative Foxx, Virginia",https://www.congress.gov/member/virginia-foxx/F000450,"North Carolina",5,Republican,"House: 2005-Present"
"Representative Frank, Barney",https://www.congress.gov/member/barney-frank/F000339,Massachusetts,4,Democratic,"House: 1981-2013"
"Representative Franks, Trent",https://www.congress.gov/member/trent-franks/F000448,Arizona,8,Republican,"House: 2003-2017"
"Representative Frelinghuysen, Rodney P.",https://www.congress.gov/member/rodney-frelinghuysen/F000372,"New Jersey",11,Republican,"House: 1995-2019"
"Representative Fudge, Marcia L.",https://www.congress.gov/member/marcia-fudge/F000455,Ohio,11,Democratic,"House: 2008-Present"
"Representative Gallegly, Elton",https://www.congress.gov/member/elton-gallegly/G000021,California,24,Republican,"House: 1987-2013"
"Representative Garrett, Scott",https://www.congress.gov/member/scott-garrett/G000548,"New Jersey",5,Republican,"House: 2003-2017"
"Representative Gerlach, Jim",https://www.congress.gov/member/jim-gerlach/G000549,Pennsylvania,6,Republican,"House: 2003-2015"
"Representative Giffords, Gabrielle",https://www.congress.gov/member/gabrielle-giffords/G000554,Arizona,8,Democratic,"House: 2007-2012"
"Representative Gilchrest, Wayne T.",https://www.congress.gov/member/wayne-gilchrest/G000180,Maryland,1,Republican,"House: 1991-2009"
"Senator Gillibrand, Kirsten E.",https://www.congress.gov/member/kirsten-gillibrand/G000555,"New York",,Democratic,"Senate: 2009-Present | House: 2007-2009"
"Representative Gillmor, Paul E.",https://www.congress.gov/member/paul-gillmor/G000210,Ohio,5,Republican,"House: 1989-2007"
"Representative Gingrey, Phil",https://www.congress.gov/member/phil-gingrey/G000550,Georgia,11,Republican,"House: 2003-2015"
"Representative Gohmert, Louie",https://www.congress.gov/member/louie-gohmert/G000552,Texas,1,Republican,"House: 2005-Present"
"Representative Gonzalez, Charles A.",https://www.congress.gov/member/charles-gonzalez/G000544,Texas,20,Democratic,"House: 1999-2013"
"Representative Goode, Virgil H., Jr.",https://www.congress.gov/member/virgil-goode/G000280,Virginia,5,Republican,"House: 1997-2009"
"Representative Goodlatte, Bob",https://www.congress.gov/member/robert-goodlatte/G000289,Virginia,6,Republican,"House: 1993-2019"
"Representative Gordon, Bart",https://www.congress.gov/member/bart-gordon/G000309,Tennessee,6,Democratic,"House: 1985-2011"
"Senator Graham, Lindsey",https://www.congress.gov/member/lindsey-graham/G000359,"South Carolina",,Republican,"Senate: 2003-Present | House: 1995-2003"
"Representative Granger, Kay",https://www.congress.gov/member/kay-granger/G000377,Texas,12,Republican,"House: 1997-Present"
"Senator Grassley, Chuck",https://www.congress.gov/member/charles-grassley/G000386,Iowa,,Republican,"Senate: 1981-Present | House: 1975-1981"
"Representative Graves, Sam",https://www.congress.gov/member/sam-graves/G000546,Missouri,6,Republican,"House: 2001-Present"
"Representative Green, Al",https://www.congress.gov/member/al-green/G000553,Texas,9,Democratic,"House: 2005-Present"
"Representative Green, Gene",https://www.congress.gov/member/gene-green/G000410,Texas,29,Democratic,"House: 1993-2019"
"Senator Gregg, Judd",https://www.congress.gov/member/judd-gregg/G000445,"New Hampshire",,Republican,"Senate: 1993-2011 | House: 1981-1989"
"Representative Grijalva, Raul M.",https://www.congress.gov/member/raul-grijalva/G000551,Arizona,3,Democratic,"House: 2003-Present"
"Representative Gutierrez, Luis V.",https://www.congress.gov/member/luis-gutierrez/G000535,Illinois,4,Democratic,"House: 1993-2019"
"Senator Hagel, Chuck",https://www.congress.gov/member/chuck-hagel/H001028,Nebraska,,Republican,"Senate: 1997-2009"
"Representative Hall, John J.",https://www.congress.gov/member/john-hall/H001039,"New York",19,Democratic,"House: 2007-2011"
"Representative Hall, Ralph M.",https://www.congress.gov/member/ralph-hall/H000067,Texas,4,Republican,"House: 1981-2015"
"Representative Hare, Phil",https://www.congress.gov/member/phil-hare/H001040,Illinois,17,Democratic,"House: 2007-2011"
"Senator Harkin, Tom",https://www.congress.gov/member/thomas-harkin/H000206,Iowa,,Democratic,"Senate: 1985-2015 | House: 1975-1985"
"Representative Harman, Jane",https://www.congress.gov/member/jane-harman/H000213,California,36,Democratic,"House: 1993-1999, 2001-2011"
"Representative Hastert, J. Dennis",https://www.congress.gov/member/j-hastert/H000323,Illinois,14,Republican,"House: 1987-2007"
"Representative Hastings, Alcee L.",https://www.congress.gov/member/alcee-hastings/H000324,Florida,20,Democratic,"House: 1993-Present"
"Representative Hastings, Doc",https://www.congress.gov/member/doc-hastings/H000329,Washington,4,Republican,"House: 1995-2015"
"Senator Hatch, Orrin G.",https://www.congress.gov/member/orrin-hatch/H000338,Utah,,Republican,"Senate: 1977-2019"
