Name,URL,State,District,Party,Terms
"Representative Carter, Earl L. ""Buddy""",https://www.congress.gov/member/earl-carter/C001103,Georgia,1,Republican,"House: 2015-Present"
"Representative Carter, John R.",https://www.congress.gov/member/john-carter/C001051,Texas,31,Republican,"House: 2003-Present"
"Representative Cartwright, Matt",https://www.congress.gov/member/matt-cartwright/C001090,Pennsylvania,8,Democratic,"House: 2013-Present"
"Senator Casey, Robert P., Jr.",https://www.congress.gov/member/bob-casey/C001070,Pennsylvania,,Democratic,"Senate: 2007-Present"
"Senator Cassidy, Bill",https://www.congress.gov/member/bill-cassidy/C001075,Louisiana,,Republican,"Senate: 2015-Present | House: 2009-2015"
"Representative Castor, Kathy",https://www.congress.gov/member/kathy-castor/C001066,Florida,14,Democratic,"House: 2007-Present"
"Representative Castro, Joaquin",https://www.congress.gov/member/joaquin-castro/C001091,Texas,20,Democratic,"House: 2013-Present"
"Representative Chabot, Steve",https://www.congress.gov/member/steve-chabot/C000266,Ohio,1,Republican,"House: 1995-2009, 2011-Present"
"Representative Chaffetz, Jason",https://www.congress.gov/member/jason-chaffetz/C001076,Utah,3,Republican,"House: 2009-2017"
"Representative Chu, Judy",https://www.congress.gov/member/judy-chu/C001080,California,27,Democratic,"House: 2009-Present"
"Representative Cicilline, David N.",https://www.congress.gov/member/david-cicilline/C001084,"Rhode Island",1,Democratic,"House: 2011-Present"
"Representative Clark, Katherine M.",https://www.congress.gov/member/katherine-clark/C001101,Massachusetts,5,Democratic,"House: 2013-Present"
"Representative Clarke, Yvette D.",https://www.congress.gov/member/yvette-clarke/C001067,"New York",9,Democratic,"House: 2007-Present"
"Representative Clawson, Curt",https://www.congress.gov/member/curt-clawson/C001102,Florida,19,Republican,"House: 2014-2017"
"Representative Clay, Wm. Lacy",https://www.congress.gov/member/wm-clay/C001049,Missouri,1,Democratic,"House: 2001-Present"
"Representative Cleaver, Emanuel",https://www.congress.gov/member/emanuel-cleaver/C001061,Missouri,5,Democratic,"House: 2005-Present"
"Representative Clyburn, James E.",https://www.congress.gov/member/james-clyburn/C000537,"South Carolina",6,Democratic,"House: 1993-Present"
"Senator Coats, Daniel",https://www.congress.gov/member/daniel-coats/C000542,Indiana,,Republican,"Senate: 1989-1999, 2011-2017 | House: 1981-1989"
"Senator Cochran, Thad",https://www.congress.gov/member/thad-cochran/C000567,Mississippi,,Republican,"Senate: 1979-2018 | House: 1973-1979"
"Representative Coffman, Mike",https://www.congress.gov/member/mike-coffman/C001077,Colorado,6,Republican,"House: 2009-2019"
"Representative Cohen, Steve",https://www.congress.gov/member/steve-cohen/C001068,Tennessee,9,Democratic,"House: 2007-Present"
"Representative Cole, Tom",https://www.congress.gov/member/tom-cole/C001053,Oklahoma,4,Republican,"House: 2003-Present"
"Representative Collins, Chris",https://www.congress.gov/member/chris-collins/C001092,"New York",27,Republican,"House: 2013-2019"
"Representative Collins, Doug",https://www.congress.gov/member/doug-collins/C001093,Georgia,9,Republican,"House: 2013-Present"
"Senator Collins, Susan M.",https://www.congress.gov/member/susan-collins/C001035,Maine,,Republican,"Senate: 1997-Present"
"Representative Comer, James",https://www.congress.gov/member/james-comer/C001108,Kentucky,1,Republican,"House: 2016-Present"
"Representative Comstock, Barbara",https://www.congress.gov/member/barbara-comstock/C001105,Virginia,10,Republican,"House: 2015-2019"
"Representative Conaway, K. Michael",https://www.congress.gov/member/k-conaway/C001062,Texas,11,Republican,"House: 2005-Present"
"Representative Connolly, Gerald E.",https://www.congress.gov/member/gerald-connolly/C001078,Virginia,11,Democratic,"House: 2009-Present"
"Representative Conyers, John, Jr.",https://www.congress.gov/member/john-conyers/C000714,Michigan,13,Democratic,"House: 1965-2017"
"Representative Cook, Paul",https://www.congress.gov/member/paul-cook/C001094,California,8,Republican,"House: 2013-Present"
"Senator Coons, Christopher A.",https://www.congress.gov/member/christopher-coons/C001088,Delaware,,Democratic,"Senate: 2010-Present"
"Representative Cooper, Jim",https://www.congress.gov/member/james-cooper/C000754,Tennessee,5,Democratic,"House: 1983-1995, 2003-Present"
"Senator Corker, Bob",https://www.congress.gov/member/bob-corker/C001071,Tennessee,,Republican,"Senate: 2007-2019"
"Senator Cornyn, John",https://www.congress.gov/member/john-cornyn/C001056,Texas,,Republican,"Senate: 2002-Present"
"Representative Costa, Jim",https://www.congress.gov/member/jim-costa/C001059,California,16,Democratic,"House: 2005-Present"
"Representative Costello, Ryan A.",https://www.congress.gov/member/ryan-costello/C001106,Pennsylvania,6,Republican,"House: 2015-2019"
"Senator Cotton, Tom",https://www.congress.gov/member/tom-cotton/C001095,Arkansas,,Republican,"Senate: 2015-Present | House: 2013-2015"
"Representative Courtney, Joe",https://www.congress.gov/member/joe-courtney/C001069,Connecticut,2,Democratic,"House: 2007-Present"
"Senator Cramer, Kevin",https://www.congress.gov/member/kevin-cramer/C001096,"North Dakota",,Republican,"Senate: 2019-Present | House: 2013-2019"
"Senator Crapo, Mike",https://www.congress.gov/member/michael-crapo/C000880,Idaho,,Republican,"Senate: 1999-Present | House: 1993-1999"
"Representative Crawford, Eric A. ""Rick""",https://www.congress.gov/member/eric-crawford/C001087,Arkansas,1,Republican,"House: 2011-Present"
"Representative Crenshaw, Ander",https://www.congress.gov/member/ander-crenshaw/C001045,Florida,4,Republican,"House: 2001-2017"
"Representative Crowley, Joseph",https://www.congress.gov/member/joseph-crowley/C001038,"New York",14,Democratic,"House: 1999-2019"
"Senator Cruz, Ted",https://www.congress.gov/member/ted-cruz/C001098,Texas,,Republican,"Senate: 2013-Present"
"Representative Cuellar, Henry",https://www.congress.gov/member/henry-cuellar/C001063,Texas,28,Democratic,"House: 2005-Present"
"Representative Culberson, John Abney",https://www.congress.gov/member/john-culberson/C001048,Texas,7,Republican,"House: 2001-2019"
"Representative Cummings, Elijah E.",https://www.congress.gov/member/elijah-cummings/C000984,Maryland,7,Democratic,"House: 1995-2019"
"Representative Curbelo, Carlos",https://www.congress.gov/member/carlos-curbelo/C001107,Florida,26,Republican,"House: 2015-2019"
"Senator Daines, Steve",https://www.congress.gov/member/steve-daines/D000618,Montana,,Republican,"Senate: 2015-Present | House: 2013-2015"
"Representative Davidson, Warren",https://www.congress.gov/member/warren-davidson/D000626,Ohio,8,Republican,"House: 2016-Present"
"Representative Davis, Danny K.",https://www.congress.gov/member/danny-davis/D000096,Illinois,7,Democratic,"House: 1997-Present"
"Representative Davis, Rodney",https://www.congress.gov/member/rodney-davis/D000619,Illinois,13,Republican,"House: 2013-Present"
"Representative Davis, Susan A.",https://www.congress.gov/member/susan-davis/D000598,California,53,Democratic,"House: 2001-Present"
"Representative DeFazio, Peter A.",https://www.congress.gov/member/peter-defazio/D000191,Oregon,4,Democratic,"House: 1987-Present"
"Representative DeGette, Diana",https://www.congress.gov/member/diana-degette/D000197,Colorado,1,Democratic,"House: 1997-Present"
"Representative Delaney, John K.",https://www.congress.gov/member/john-delaney/D000620,Maryland,6,Democratic,"House: 2013-2019"
"Representative DeLauro, Rosa L.",https://www.congress.gov/member/rosa-delauro/D000216,Connecticut,3,Democratic,"House: 1991-Present"
"Representative DelBene, Suzan K.",https://www.congress.gov/member/suzan-delbene/D000617,Washington,1,Democratic,"House: 2012-Present"
"Representative Denham, Jeff",https://www.congress.gov/member/jeff-denham/D000612,California,10,Republican,"House: 2011-2019"
"Representative Dent, Charles W.",https://www.congress.gov/member/charles-dent/D000604,Pennsylvania,15,Republican,"House: 2005-2018"
"Representative DeSantis, Ron",https://www.congress.gov/member/ron-desantis/D000621,Florida,6,Republican,"House: 2013-2018"
"Representative DeSaulnier, Mark",https://www.congress.gov/member/mark-desaulnier/D000623,California,11,Democratic,"House: 2015-Present"
"Representative DesJarlais, Scott",https://www.congress.gov/member/scott-desjarlais/D000616,Tennessee,4,Republican,"House: 2011-Present"
"Representative Deutch, Theodore E.",https://www.congress.gov/member/theodore-deutch/D000610,Florida,22,Democratic,"House: 2010-Present"
"Representative Diaz-Balart, Mario",https://www.congress.gov/member/mario-diaz-balart/D000600,Florida,25,Republican,"House: 2003-Present"
"Representative Dingell, Debbie",https://www.congress.gov/member/debbie-dingell/D000624,Michigan,12,Democratic,"House: 2015-Present"
"Representative Doggett, Lloyd",https://www.congress.gov/member/lloyd-doggett/D000399,Texas,35,Democratic,"House: 1995-Present"
"Representative Dold, Robert J.",https://www.congress.gov/member/robert-dold/D000613,Illinois,10,Republican,"House: 2011-2013, 2015-2017"
"Senator Donnelly, Joe",https://www.congress.gov/member/joe-donnelly/D000607,Indiana,,Democratic,"Senate: 2013-2019 | House: 2007-2013"
"Representative Donovan, Daniel M., Jr.",https://www.congress.gov/member/daniel-donovan/D000625,"New York",11,Republican,"House: 2015-2019"
"Representative Doyle, Michael F.",https://www.congress.gov/member/mike-doyle/D000482,Pennsylvania,18,Democratic,"House: 1995-Present"
"Senator Duckworth, Tammy",https://www.congress.gov/member/tammy-duckworth/D000622,Illinois,,Democratic,"Senate: 2017-Present | House: 2013-2017"
"Representative Duffy, Sean P.",https://www.congress.gov/member/sean-duffy/D000614,Wisconsin,7,Republican,"House: 2011-2019"
"Representative Duncan, Jeff",https://www.congress.gov/member/jeff-duncan/D000615,"South Carolina",3,Republican,"House: 2011-Present"
"Representative Duncan, John J., Jr.",https://www.congress.gov/member/john-duncan/D000533,Tennessee,2,Republican,"House: 1987-2019"
"Senator Durbin, Richard J.",https://www.congress.gov/member/richard-durbin/D000563,Illinois,,Democratic,"Senate: 1997-Present | House: 1983-1997"
"Representative Edwards, Donna F.",https://www.congress.gov/member/donna-edwards/E000290,Maryland,4,Democratic,"House: 2008-2017"
"Representative Ellison, Keith",https://www.congress.gov/member/keith-ellison/E000288,Minnesota,5,Democratic,"House: 2007-2019"
"Representative Ellmers, Renee L.",https://www.congress.gov/member/renee-ellmers/E000291,"North Carolina",2,Republican,"House: 2011-2017"
"Representative Emmer, Tom",https://www.congress.gov/member/tom-emmer/E000294,Minnesota,6,Republican,"House: 2015-Present"
"Representative Engel, Eliot L.",https://www.congress.gov/member/eliot-engel/E000179,"New York",16,Democratic,"House: 1989-Present"
"Senator Enzi, Michael B.",https://www.congress.gov/member/michael-enzi/E000285,Wyoming,,Republican,"Senate: 1997-Present"
"Senator Ernst, Joni ",https://www.congress.gov/member/joni-ernst/E000295,Iowa,,Republican,"Senate: 2015-Present"
"Representative Eshoo, Anna G.",https://www.congress.gov/member/anna-eshoo/E000215,California,18,Democratic,"House: 1993-Present"
"Representative Esty, Elizabeth H.",https://www.congress.gov/member/elizabeth-esty/E000293,Connecticut,5,Democratic,"House: 2013-2019"
"Representative Evans, Dwight",https://www.congress.gov/member/dwight-evans/E000296,Pennsylvania,3,Democratic,"House: 2016-Present"
"Representative Farenthold, Blake",https://www.congress.gov/member/blake-farenthold/F000460,Texas,27,Republican,"House: 2011-2018"
"Representative Farr, Sam",https://www.congress.gov/member/sam-farr/F000030,California,20,Democratic,"House: 1993-2017"
"Representative Fattah, Chaka",https://www.congress.gov/member/chaka-fattah/F000043,Pennsylvania,2,Democratic,"House: 1995-2016"
"Senator Feinstein, Dianne",https://www.congress.gov/member/dianne-feinstein/F000062,California,,Democratic,"Senate: 1992-Present"
"Representative Fincher, Stephen Lee",https://www.congress.gov/member/stephen-fincher/F000458,Tennessee,8,Republican,"House: 2011-2017"
"Senator Fischer, Deb",https://www.congress.gov/member/deb-fischer/F000463,Nebraska,,Republican,"Senate: 2013-Present"
"Representative Fitzpatrick, Michael G.",https://www.congress.gov/member/michael-fitzpatrick/F000451,Pennsylvania,8,Republican,"House: 2005-2007, 2011-2017"
"Senator Flake, Jeff",https://www.congress.gov/member/jeff-flake/F000444,Arizona,,Republican,"Senate: 2013-2019 | House: 2001-2013"
"Representative Fleischmann, Charles J. ""Chuck""",https://www.congress.gov/member/charles-fleischmann/F000459,Tennessee,3,Republican,"House: 2011-Present"
"Representative Fleming, John",https://www.congress.gov/member/john-fleming/F000456,Louisiana,4,Republican,"House: 2009-2017"
"Representative Flores, Bill",https://www.congress.gov/member/bill-flores/F000461,Texas,17,Republican,"House: 2011-Present"
"Representative Forbes, J. Randy",https://www.congress.gov/member/j-forbes/F000445,Virginia,4,Republican,"House: 2001-2017"
"Representative Fortenberry, Jeff",https://www.congress.gov/member/jeff-fortenberry/F000449,Nebraska,1,Republican,"House: 2005-Present"
"Representative Foster, Bill",https://www.congress.gov/member/bill-foster/F000454,Illinois,11,Democratic,"House: 2008-2011, 2013-Present"
"Representative Foxx, Virginia",https://www.congress.gov/member/virginia-foxx/F000450,"North Carolina",5,Republican,"House: 2005-Present"
"Representative Frankel, Lois",https://www.congress.gov/member/lois-frankel/F000462,Florida,21,Democratic,"House: 2013-Present"
"Senator Franken, Al",https://www.congress.gov/member/al-franken/F000457,Minnesota,,Democratic,"Senate: 2009-2018"
"Representative Franks, Trent",https://www.congress.gov/member/trent-franks/F000448,Arizona,8,Republican,"House: 2003-2017"
"Representative Frelinghuysen, Rodney P.",https://www.congress.gov/member/rodney-frelinghuysen/F000372,"New Jersey",11,Republican,"House: 1995-2019"
"Representative Fudge, Marcia L.",https://www.congress.gov/member/marcia-fudge/F000455,Ohio,11,Democratic,"House: 2008-Present"
"Representative Gabbard, Tulsi",https://www.congress.gov/member/tulsi-gabbard/G000571,Hawaii,2,Democratic,"House: 2013-Present"
"Representative Gallego, Ruben",https://www.congress.gov/member/ruben-gallego/G000574,Arizona,7,Democratic,"House: 2015-Present"
"Representative Garamendi, John",https://www.congress.gov/member/john-garamendi/G000559,California,3,Democratic,"House: 2009-Present"
"Senator Gardner, Cory",https://www.congress.gov/member/cory-gardner/G000562,Colorado,,Republican,"Senate: 2015-Present | House: 2011-2015"
"Representative Garrett, Scott",https://www.congress.gov/member/scott-garrett/G000548,"New Jersey",5,Republican,"House: 2003-2017"
"Representative Gibbs, Bob",https://www.congress.gov/member/bob-gibbs/G000563,Ohio,7,Republican,"House: 2011-Present"
"Representative Gibson, Christopher P.",https://www.congress.gov/member/christopher-gibson/G000564,"New York",19,Republican,"House: 2011-2017"
"Senator Gillibrand, Kirsten E.",https://www.congress.gov/member/kirsten-gillibrand/G000555,"New York",,Democratic,"Senate: 2009-Present | House: 2007-2009"
"Representative Gohmert, Louie",https://www.congress.gov/member/louie-gohmert/G000552,Texas,1,Republican,"House: 2005-Present"
"Representative Goodlatte, Bob",https://www.congress.gov/member/robert-goodlatte/G000289,Virginia,6,Republican,"House: 1993-2019"
"Representative Gosar, Paul A.",https://www.congress.gov/member/paul-gosar/G000565,Arizona,4,Republican,"House: 2011-Present"
"Representative Gowdy, Trey",https://www.congress.gov/member/trey-gowdy/G000566,"South Carolina",4,Republican,"House: 2011-2019"
"Representative Graham, Gwen",https://www.congress.gov/member/gwen-graham/G000575,Florida,2,Democratic,"House: 2015-2017"
"Senator Graham, Lindsey",https://www.congress.gov/member/lindsey-graham/G000359,"South Carolina",,Republican,"Senate: 2003-Present | House: 1995-2003"
"Representative Granger, Kay",https://www.congress.gov/member/kay-granger/G000377,Texas,12,Republican,"House: 1997-Present"
"Senator Grassley, Chuck",https://www.congress.gov/member/charles-grassley/G000386,Iowa,,Republican,"Senate: 1981-Present | House: 1975-1981"
"Representative Graves, Garret",https://www.congress.gov/member/garret-graves/G000577,Louisiana,6,Republican,"House: 2015-Present"
"Representative Graves, Sam",https://www.congress.gov/member/sam-graves/G000546,Missouri,6,Republican,"House: 2001-Present"
"Representative Graves, Tom",https://www.congress.gov/member/tom-graves/G000560,Georgia,14,Republican,"House: 2010-Present"
"Representative Grayson, Alan",https://www.congress.gov/member/alan-grayson/G000556,Florida,9,Democratic,"House: 2009-2011, 2013-2017"
"Representative Green, Al",https://www.congress.gov/member/al-green/G000553,Texas,9,Democratic,"House: 2005-Present"
"Representative Green, Gene",https://www.congress.gov/member/gene-green/G000410,Texas,29,Democratic,"House: 1993-2019"
"Representative Griffith, H. Morgan",https://www.congress.gov/member/h-griffith/G000568,Virginia,9,Republican,"House: 2011-Present"
"Representative Grijalva, Raul M.",https://www.congress.gov/member/raul-grijalva/G000551,Arizona,3,Democratic,"House: 2003-Present"
"Representative Grothman, Glenn",https://www.congress.gov/member/glenn-grothman/G000576,Wisconsin,6,Republican,"House: 2015-Present"
"Representative Guinta, Frank C.",https://www.congress.gov/member/frank-guinta/G000570,"New Hampshire",1,Republican,"House: 2011-2013, 2015-2017"
"Representative Guthrie, Brett",https://www.congress.gov/member/brett-guthrie/G000558,Kentucky,2,Republican,"House: 2009-Present"
"Representative Gutierrez, Luis V.",https://www.congress.gov/member/luis-gutierrez/G000535,Illinois,4,Democratic,"House: 1993-2019"
"Representative Hahn, Janice",https://www.congress.gov/member/janice-hahn/H001063,California,44,Democratic,"House: 2011-2017"
"Representative Hanabusa, Colleen",https://www.congress.gov/member/colleen-hanabusa/H001050,Hawaii,1,Democratic,"House: 2011-2019"
"Representative Hanna, Richard L.",https://www.congress.gov/member/richard-hanna/H001051,"New York",22,Republican,"House: 2011-2017"
"Representative Hardy, Cresent",https://www.congress.gov/member/cresent-hardy/H001070,Nevada,4,Republican,"House: 2015-2017"
"Representative Harper, Gregg",https://www.congress.gov/member/gregg-harper/H001045,Mississippi,3,Republican,"House: 2009-2019"
"Representative Harris, Andy",https://www.congress.gov/member/andy-harris/H001052,Maryland,1,Republican,"House: 2011-Present"
"Representative Hartzler, Vicky",https://www.congress.gov/member/vicky-hartzler/H001053,Missouri,4,Republican,"House: 2011-Present"
"Representative Hastings, Alcee L.",https://www.congress.gov/member/alcee-hastings/H000324,Florida,20,Democratic,"House: 1993-Present"
"Senator Hatch, Orrin G.",https://www.congress.gov/member/orrin-hatch/H000338,Utah,,Republican,"Senate: 1977-2019"
"Representative Heck, Denny",https://www.congress.gov/member/denny-heck/H001064,Washington,10,Democratic,"House: 2013-Present"
"Representative Heck, Joseph J.",https://www.congress.gov/member/joseph-heck/H001055,Nevada,3,Republican,"House: 2011-2017"
"Senator Heinrich, Martin",https://www.congress.gov/member/martin-heinrich/H001046,"New Mexico",,Democratic,"Senate: 2013-Present | House: 2009-2013"
"Senator Heitkamp, Heidi",https://www.congress.gov/member/heidi-heitkamp/H001069,"North Dakota",,Democratic,"Senate: 2013-2019"
"Senator Heller, Dean",https://www.congress.gov/member/dean-heller/H001041,Nevada,,Republican,"Senate: 2011-2019 | House: 2007-2011"
"Representative Hensarling, Jeb",https://www.congress.gov/member/jeb-hensarling/H001036,Texas,5,Republican,"House: 2003-2019"
"Representative Herrera Beutler, Jaime",https://www.congress.gov/member/jaime-herrera-beutler/H001056,Washington,3,Republican,"House: 2011-Present"
"Representative Hice, Jody B.",https://www.congress.gov/member/jody-hice/H001071,Georgia,10,Republican,"House: 2015-Present"
"Representative Higgins, Brian",https://www.congress.gov/member/brian-higgins/H001038,"New York",26,Democratic,"House: 2005-Present"
"Representative Hill, J. French",https://www.congress.gov/member/j-hill/H001072,Arkansas,2,Republican,"House: 2015-Present"
"Representative Himes, James A.",https://www.congress.gov/member/james-himes/H001047,Connecticut,4,Democratic,"House: 2009-Present"
"Representative Hinojosa, Ruben",https://www.congress.gov/member/ruben-hinojosa/H000636,Texas,15,Democratic,"House: 1997-2017"
"Senator Hirono, Mazie K.",https://www.congress.gov/member/mazie-hirono/H001042,Hawaii,,Democratic,"Senate: 2013-Present | House: 2007-2013"
